word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
shit,299,0,9888,39966,0.029351133797977814,0.0,299,2420.9873590534457,11.241379831128834,1180.0827801729986,1.2998605754282457e-258,10187,39966,negative,1.0005026849071206e-254,True
refund,382,97,9805,39869,0.03749877294591145,0.00242706300355302,479,15.951365599369272,3.9956080335548307,1055.5605275115724,1.505677009582634e-231,10187,39966,negative,5.794597971378767e-228,True
boring,587,357,9600,39609,0.05762245999803672,0.008932592703798228,944,6.780119260979633,2.761310650310093,1042.0643878994813,1.2917256680270058e-228,10187,39966,negative,3.314137488934621e-225,True
money,947,1083,9240,38883,0.09296161774811033,0.02709803332832908,2030,3.6797658239256785,1.879613957746714,906.725645504014,3.386508998267505e-199,10187,39966,negative,6.516489939916246e-196,True
waste,349,145,9838,39821,0.034259350152154706,0.003628083871290597,494,9.722387171374397,3.28131058723283,780.9781602844981,7.375874967922746e-172,10187,39966,negative,1.1354421925620276e-168,True
bad,1069,1539,9118,38427,0.10493766565230195,0.03850773157183606,2608,2.927654508482313,1.549745311713355,726.6898774923048,4.6985947548620243e-160,10187,39966,negative,6.027513971362167e-157,True
unplayable,249,55,9938,39911,0.02444291744380092,0.0013761697442826403,304,18.053224175526335,4.174184609930874,716.9297512515046,6.227025548351279e-158,10187,39966,negative,6.8470593779514e-155,True
slop,310,131,9877,39835,0.03043094139589673,0.0032777861182004702,441,9.522677706851901,3.251367305802716,686.7120804874334,2.318937116581352e-151,10187,39966,negative,2.2311073732908334e-148,True
terrible,309,130,9878,39836,0.030332777068813193,0.0032527648501226043,439,9.564016400802315,3.2576166040495282,686.1015338319651,3.1481838268566456e-151,10187,39966,negative,2.6923967683684002e-148,True
worse,279,118,9908,39848,0.02738784725630706,0.00295250963318821,397,9.485659395281168,3.245748066018021,617.2123802551969,3.020344507610752e-136,10187,39966,negative,2.3247591675079956e-133,True
why,713,898,9474,39068,0.06999116521056248,0.022469098733923835,1611,3.274510090685677,1.7112790768460902,589.6731255066222,2.9512685044717165e-130,10187,39966,negative,2.0650830617198912e-127,True
because,1387,2580,8800,37386,0.13615392166486698,0.06455487164089475,3967,2.284212958386784,1.1916971601956283,571.3153267172937,2.9053492489225096e-126,10187,39966,negative,1.8635394307463796e-123,True
anything,679,875,9508,39091,0.06665357808972219,0.021893609568132914,1554,3.190829768561701,1.6739316425868536,541.6703999451661,8.166605081346644e-120,10187,39966,negative,4.8352584085480865e-117,True
